Cargo,Empresa,Industria,Región,Modalidad,Seniority,Salario,Skills requeridos,Exp. mínima,Fuente,Notas
Specialist Data Science,BHP,Minería,Rm,Híbrido,Senior,,"Python, SQL, AWS, SageMaker, ML",6.0,LinkedIn,Vacante Data Science Senior
Analista Programador Sql,SII Group,Consultoría Ti,Rm,,Mid,,"SQL, ETL, MDX",2.0,LinkedIn,ETL y bases de datos
Analista De Pricing,Tottus,Retail,Rm,Remoto,Mid,,"Excel Avanzado, Pricing",1.0,LinkedIn,Análisis comercial
Líder De Analítica Y Transformación,Empresa Confidencial,,Rm,Híbrido,Mid,,"Power BI, SQL, IA",3.0,LinkedIn,Experiencia cliente
Automation Assistant Temporary,Kraft Heinz,Consumo Masivo,Rm,,Junior,,"Excel, VBA, Power BI",,LinkedIn,Proyecto temporal
Service Excellence Operations Analyst,Johnson & Johnson MedTech,Salud,Rm,Híbrido,,,"Excel, Power BI, Salesforce",,LinkedIn,Inglés intermedio
Ingeniero/A De Datos,BancoEstado,Financiero,Rm,Presencial,Mid,,"AWS, ETL, Data Lake",2.0,LinkedIn,Data Engineering
Analista Control De Gestión Compras,Blue Express,Logística,Rm,Híbrido,,,"Power BI, SQL, SAP",3.0,LinkedIn,Compras
Bi & Data Scientist,SICPA,Tecnología,Rm,Híbrido,Mid,,"Python, SQL, ML, Power BI",3.0,LinkedIn,IA y MLOps
Product Manager Analytics Cx,Banco Falabella,Financiero,Rm,Híbrido,Junior,,"SQL, Power BI",0.0,LinkedIn,Analytics CX
Líder De Analítica Digital,Banco BICE,Financiero,Rm,Híbrido,Senior,,"GA4, GTM, Looker, SQL",3.0,LinkedIn,Analítica digital
Analista Cuantitativo,Banco Central de Chile,Financiero,Rm,Híbrido,Senior,,"Python, R, Finanzas",,LinkedIn,Modelación financiera
Data & Analytics Strategy Executive,dentsu,Marketing,Rm,,Mid,,"GA4, CRO, Hotjar",,LinkedIn,Experimentación
Analista Control Operaciones Siniestros Masivos,BNP Paribas Cardif,Seguros,Rm,Híbrido,,,"SQL, Power BI",1.0,LinkedIn,Control operacional
Research Analyst,Aurora Energy Research,Energía,Rm,Híbrido,Junior,,"Python, Excel",0.0,LinkedIn,Inglés C1
Analyst,Compass Lexecon,Consultoría Económica,Rm,Presencial,Junior,,"Stata, Excel, Python",,LinkedIn,Econometría
Data Qa Analyst,Blend,Tecnología,Remoto,Remoto,Mid,,"Azure, Databricks, SQL",1.0,LinkedIn,QA de datos
Data Business Partner,Banco Bci,Financiero,Rm,Híbrido,Mid,,"Python, SQL, ETL",2.0,LinkedIn,Data Partner
Data Engineer,Equifax,Financiero,Rm,,Mid,,"Python, SQL, GCP",2.0,LinkedIn,BigQuery
Data Engineer Gcp,KPaz,Consultoría Ti,Rm,Híbrido,Mid,,"Python, SQL, GCP",3.0,LinkedIn,"BigQuery, Composer"
Data Scientist - Junior A Senior,Muck Consultores,Consultoría,Rm,Remoto,Mid,,"Machine Learning, Estadística",,LinkedIn,Sector financiero
Analista De Datos - Sql,Perceptual Consultores,Consultoría / Financiero,"Santiago Centro, Rm",Híbrido,Mid,,"SQL sólido + PostgreSQL (excluyente), Python, PHP, JS, Tableau / Power BI / QuickSight / Pentaho",3.0,Trabajando.cl,Primera oferta de Trabajando.cl. 3 años mínimo. Stack variado.
Analista De Datos Junior,ECRGROUP,Servicios / Operaciones,"Ñuñoa, Rm",Híbrido,Junior,,"Excel avanzado (excluyente), Power BI intermedio (deseable)",1.0,Trabajando.cl,"Primera oferta con salario explícito: $800K líquido. Excel excluyente, Power BI solo deseable."
Data Analyst Bi,Perceptual Consultores,Consultoría / Financiero,"Santiago Centro, Rm",Híbrido,Mid,,"SQL avanzado, PostgreSQL, Python, PHP, JS, Tableau, Amazon QuickSight",3.0,Trabajando.cl,Segunda oferta de Perceptual. Stack idéntico a oferta 41 — probablemente mismo cliente.
Analista Qa Senior - Gobierno Del Dato,Banco de Chile,Banca,"Santiago Centro, Rm",Híbrido,Senior,,"QA/ISTQB, Big Data, Data Lake, Data Warehouse, Control M, pruebas automatizadas, metodologías ágiles",3.0,Trabajando.cl,"Rol QA datos, no analítica pura. Senior con exp. financiera. Útil para mapear sector banca."
Analista De Datos Rrhh,Empresa Confidencial,Recursos Humanos,"Providencia, Rm",Híbrido,Mid,,"Power BI (excluyente), Excel, ERP BUK (deseable), legislación laboral chilena",2.0,Trabajando.cl,Foco RRHH/personas. Power BI excluyente. BUK es ERP RRHH muy usado en Chile.
Data Analyst (Reemplazo Pre/Post Natal),Clínica Alemana,Salud,"Vitacura, Rm",No especificado,Mid,,"SQL avanzado, Python/R/Java, Looker/Tableau/Power BI, Airflow (deseable), Git, JIRA (deseable)",1.0,Trabajando.cl,¡Tu ex empleador! Reemplazo temporal. Sin exp. mínima en formulario. Stack sólido.
Analista Control Datos Maestros,Empresa Confidencial (Retail),Retail,"Santiago Centro, Rm",Presencial,Junior,,"Excel intermedio, SAP (conocimientos)",1.0,Trabajando.cl,"Rol de gobernanza/calidad de datos, no analítica BI. Stack muy básico. SAP suma para tu CV."
Analista De Datos / Bi Junior,Empresa Confidencial,Desconocida,"Santiago Centro, Rm",Presencial,Mid,,"Power BI, SQL, Python (automatización), Excel avanzado + macros, CRM",2.0,Trabajando.cl,"Proyecto 3 meses renovable. Viernes hasta 15:35. 61 postulantes, 60% técnicos."
Analista De Protección De Datos,Empresa Confidencial,Corporativo,"Las Condes, Rm",Híbrido,Junior,,"Excel avanzado (excluyente), gestión de riesgos, DPIA; deseable: curso protección datos",1.0,Trabajando.cl,"Rol de privacidad/compliance, no analítica BI. Contrato por proyecto. Viernes hasta 14:00."
Analista De Privacidad De Datos,Empresa Confidencial,Corporativo,"Las Condes, Rm",Híbrido,Junior,,"Excel avanzado (excluyente), gestión de riesgos, DPIA; deseable: curso protección datos",1.0,Trabajando.cl,⚠ Probable duplicado de oferta #49. Stack y funciones idénticas.
Analista Data Analytics Junior,Empresa Confidencial (Retail),Retail,"Las Condes, Rm",Híbrido,Junior,,"Looker (excluyente), SQL, GCP, Data Lake; deseable: Python, QlikView, Big Data",1.0,Trabajando.cl,Ya postulaste (09/06). Migración Power BI → Looker. QlikView aparece por primera vez.
Data Analyst / Gcp,Michael Page (cliente retail),Retail,"Huechuraba, Rm",Híbrido,Senior,,"Python, SQL, BigQuery, Looker, Looker Studio, Power BI, Power Apps, Excel, Inglés B1",4.0,Trabajando.cl,Muy senior. Proyecto 10 meses. Primera aparición de Power Apps. Michael Page = headhunter.
Analista De Datos,CGE S.A.,Energía / Utilities,"Las Condes, Rm",Presencial,Senior,,"SAP HANA, Data Lake, ML supervisado/no supervisado, SAP IS-U, Python (implícito), Inglés (deseable)",3.0,Trabajando.cl,"Primer rol del sector energía. ML + SAP HANA. 61 postulantes, 60% técnicos."
Analista De Datos - Desarrollador,VALIO SpA,Consultoría Ti,"Santiago Centro, Rm",Presencial,Mid,,"PostgreSQL (excluyente), SQL avanzado, ETL, modelado datos, Power BI/Tableau, Python (Pandas, Matplotlib); deseable: Talend, Pentaho, SSIS",2.0,Trabajando.cl,Rol híbrido analista+dev. Pentaho aparece por segunda vez. Contrato 3m + indefinido.
Analista De Confiabilidad De Datos,Empresa Confidencial (Alimentos),Industria / Alimentos,"Santiago Centro, Rm",Presencial,Junior,,"ERP (no especificado), KPIs, análisis de fallas, TPM; sin stack técnico BI explícito",1.0,Trabajando.cl,"Rol industrial/mantenimiento, no BI puro. Primer sector alimentos. Stack técnico muy vago."
Analista De Datos (Maquinaria),Empresa Confidencial (Minería/Construcción),Minería / Construcción,"Huechuraba, Rm",Presencial,Junior,,"Python (IA/predictivo), análisis de datos; deseable: Máximo, ReQlogic, Dynamics",1.0,Trabajando.cl,Sector movimiento de tierra. Python + IA predictiva. Primer rol con Máximo (ERP mantenimiento).
Analista De Datos / Compensaciones,Consorcio,Servicios Financieros / Seguros,"Las Condes, Rm",Híbrido,Mid,,"Python, R, Power BI, estadística, AWS (estructura datos); deseable: exp. proyectos datos",2.0,Trabajando.cl,Ya postulaste (09/06). Hasta 2 años exp. Foco RRHH/compensaciones. AWS como plataforma.
Analista De Datos,Forum Servicios Financieros (BBVA),Servicios Financieros,"Las Condes, Rm",Híbrido,Junior,,"SQL intermedio, Excel/Sheets avanzado, Google Workspace (Sheets, Data Studio, AppScript, Gemini), herramientas IA (ChatGPT/Gemini avanzado)",0.0,Trabajando.cl,0-1 año exp. Primera oferta con IA/Gemini como req. explícito avanzado. Google stack puro.
Analista De Datos,Forum Servicios Financieros (BBVA),Servicios Financieros,"Las Condes, Rm",Híbrido,Junior,,"SQL intermedio, Excel/Sheets avanzado, Google Workspace, Gemini/ChatGPT avanzado",0.0,Trabajando.cl,⚠ Duplicado oferta #58. Ya postulaste (09/06).
Data Analyst Financiero,Quelen Fruit,Agroindustria / Exportación,"Las Condes, Rm",Presencial,Junior,,"Excel avanzado, Power BI intermedio, Inglés intermedio-avanzado",0.0,Trabajando.cl,Primer sector agroindustria/exportación. 0-2 años exp. Excel + Power BI intermedios.
Data Analyst Financiero,Quelen Fruit,Agroindustria / Exportación,"Las Condes, Rm",Presencial,Junior,,"Excel avanzado, Power BI intermedio, Inglés intermedio-avanzado",0.0,Trabajando.cl,⚠ Duplicado oferta #60.
Analista Datos De Negocio,Bci Seguros,Seguros / Banca,"Las Condes, Rm",Híbrido,Mid,,"SQL, Python, R, Excel/PPT; deseable: PySpark, TypeScript, ETL, herramientas BI, IA/prompts",1.0,Trabajando.cl,"IA como req. explícito (prompts, implementación). PySpark y TypeScript aparecen por primera vez."
Analista De Consistencia De Datos,Soprole,Consumo Masivo / Logística,"Renca, Rm",Presencial,Junior,,"Excel, Power BI, SAP (deseable)",1.0,Trabajando.cl,Sin exp. mínima en formulario. Foco logístico. Tu práctica en Clínica Alemana puede contar.
Analista De Gestión De Datos,BancoEstado Cobranzas,Banca / Cobranza,"Santiago Centro, Rm",Presencial,Mid,,"Python, Power BI, AWS, Data Lake, ETL",3.0,Trabajando.cl,Formulario dice 'sin exp.' pero perfil pide 3 años. Banco Estado = empresa pública grande.
Analista De Datos De Activos,Transelec,Energía / Transmisión,"Cerro Navia, Rm",Presencial,Senior,,"SQL, Python (Pandas), Power BI, Power Query/M, Excel avanzado, ERP/EAM, GIS; deseable: GCP/BigQuery",3.0,Trabajando.cl,Sector transmisión eléctrica. Stack completo ETL+BI. GIS aparece por primera vez.
Analista De Datos De Activos,Transelec,Energía / Transmisión,"Canela, Región Coquimbo",Presencial,Senior,,"SQL, Python (Pandas), Power BI, Power Query/M, Excel avanzado, ERP/EAM, GIS; deseable: GCP/BigQuery",3.0,Trabajando.cl,Mismo cargo que #65 pero en Canela (Coquimbo) — fuera de Santiago. Primera oferta de regiones.
Analista De Datos De Activos,Transelec,Energía / Transmisión,"Canela, Región Coquimbo",Presencial,Senior,,"SQL, Python (Pandas), Power BI, Power Query/M, Excel avanzado, ERP/EAM, GIS; deseable: GCP/BigQuery",3.0,Trabajando.cl,⚠ Duplicado oferta #66.
Analista De Datos (Laboratorio Lims),Empresa Confidencial,Minería / Laboratorio Químico,Antofagasta,Turnos,Junior,,"Microsoft Office intermedio, sistema LIMS",1.0,Trabajando.cl,⚠ NO es rol TI/BI. Analista químico de laboratorio. Útil solo para análisis de ruido en el mercado.
Analista De Datos Sucursal Quilicura,Komatsu Cummins,Industrial/Mining,"Quilicura, Rm",Presencial,Senior,,"SQL Server, Python, R, IA, ETL, Data Warehouse",4.0,Trabajando,Analítica avanzada
Ingeniero Analista De Datos,CyD Ingeniería,Minería,Coquimbo/Atacama,Presencial,Senior,,"Análisis de datos, IA",5.0,Trabajando,Rubro minero
Data Analyst,WOM,Telecomunicaciones,"Santiago, Rm",Presencial,Mid,,"Google Analytics, SQL, BigQuery, Python, Power BI",3.0,Trabajando,Ecommerce
Desarrollador Senior Nodejs Y Typescript,Perceptual,Ti,Huechuraba,Híbrido,Senior,,"NodeJS, TypeScript, AWS, PostgreSQL",3.0,Trabajando,Backend
Analista Contratos Y Adm. De Terceros,Chilexpress,Logística,Huechuraba,Híbrido,Mid,,"Excel, Power BI, SAP",2.0,Trabajando,Proveedores
Analista De Subsidios,Nueva Masvida,Salud,Las Condes,Presencial,Mid,,"Excel, SQL, Power BI",2.0,Trabajando,Isapre
Ingeniero Comercial Procurement,Confidencial,Seguros,Las Condes,Híbrido,Junior,1000000.0,"Excel, SAP, Compras",1.0,Trabajando,Procurement
Administrador Infraestructura Aws,Perceptual,Ti,Santiago,Presencial,Mid,,"AWS, Linux, SQL Server, Oracle",1.0,Trabajando,Infraestructura
Analista De Demanda,Comercial de Campo,Alimentos,Huechuraba,Presencial,Mid,,"Excel, Power BI, SAP",1.0,Trabajando,Forecast
Analista Bi,BC Tecnología,Ti,Santiago,Híbrido,Mid,,"Power BI, SQL, Python",2.0,GetOnBoard,BI
Data Analyst,BC Tecnología,Ti,Santiago,Híbrido,Mid,,"SQL, Python, GCP, Power BI",2.0,GetOnBoard,Risk Ops
Analista De Datos Sql,Perceptual,Financiero,Santiago,Híbrido,Mid,,"SQL, PostgreSQL, Python, Tableau",3.0,BNE,Datos
Analista Trade Marketing,Retail Confidencial,Retail,Santiago,Presencial,Mid,,"Excel, KPIs, Market Share",1.0,BNE,Trade
Analista Protección De Datos,PS Grupo Hunting,Compliance,Santiago,Híbrido,Mid,,"Protección de datos, Riesgos",2.0,BNE,Privacidad
Ingeniero Analista De Datos,Xinerlink,Retail,Las Condes,Presencial,Mid,1200000.0,"Power BI, SQL, Data Factory",1.0,BNE,Proyecto
Analista Datos Santiago,Komatsu Cummins,Industrial,Santiago,Presencial,Senior,,"SQL, Python, ETL",4.0,BNE,Duplicada
Analista Datos Y Control Gestión,Empresa Internacional,Acuícola,Puerto Varas,Presencial,Junior,,"Excel, Power BI, SQL",0.0,BNE,Control gestión
Analista Datos Automatización Auditoría,AFP Modelo,Financiero,Santiago,Híbrido,Mid,,"SQL, Power Automate, IA",2.0,BNE,Auditoría
Analista Datos Geomático Forestal,Rabanal y Stenger,Forestal,Ecuador,Presencial,Senior,,"ArcGIS, Python, SIG",5.0,BNE,Geomática
Analista Calidad De Datos Sql,Kibernum,Ti,Santiago,Híbrido,Mid,,"SQL, ETL, Power BI",2.0,BNE,Calidad datos
Analista Junior Datos Y Automatización,RyC Consultores,Ti,Santiago,Híbrido,Junior,,"SQL, Power BI, PowerShell",0.0,BNE,Junior
Analista Datos Junior,Kibernum,Ti,Santiago,Híbrido,Junior,850000.0,"Python, SQL, ETL",1.0,BNE,Junior
